"";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03";"Bacteroides_sp_2_1_7, AGORA version 1.03";"Clostridium_sp_SS2_1, AGORA version 1.03";"Faecalibacterium_prausnitzii_SL3_3, AGORA version 1.03";"Roseburia_intestinalis_L1_82, AGORA version 1.03"
"1";5;5;5;5;5
"2";5;7;7;6;7
"3";5;14;14;12;14
"4";5;28;28;24;28
"5";5;56;56;48;56
"6";5;112;112;96;112
"7";4;222;224;192;224
"8";4;412;434;376;427
"9";0;693;765;662;727
"10";0;1076;1163;963;1109
"11";0;1493;1587;1277;1527
