"";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03";"Bacteroides_sp_2_1_7, AGORA version 1.03";"Clostridium_sp_SS2_1, AGORA version 1.03";"Faecalibacterium_prausnitzii_SL3_3, AGORA version 1.03";"Roseburia_intestinalis_L1_82, AGORA version 1.03"
"1";5;5;5;5;5
"2";5;7;8;8;7
"3";5;14;16;16;14
"4";5;28;32;32;28
"5";8;56;64;64;56
"6";16;112;128;128;112
"7";32;223;256;248;224
"8";64;433;498;459;435
"9";128;712;857;767;789
"10";246;934;1241;1147;1220
"11";394;1115;1652;1573;1653
