"";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03";"Bacteroides_sp_2_1_7, AGORA version 1.03";"Clostridium_sp_SS2_1, AGORA version 1.03";"Faecalibacterium_prausnitzii_SL3_3, AGORA version 1.03";"Roseburia_intestinalis_L1_82, AGORA version 1.03"
"1";5;5;5;5;5
"2";5;5;8;5;6
"3";5;10;16;10;12
"4";5;20;32;20;24
"5";5;40;64;40;48
"6";5;80;128;80;96
"7";5;160;256;160;192
"8";4;319;483;314;364
"9";2;586;791;602;575
"10";1;892;1149;1025;745
"11";0;1204;1545;1474;890
