"";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03";"Bacteroides_sp_2_1_7, AGORA version 1.03";"Clostridium_sp_SS2_1, AGORA version 1.03";"Faecalibacterium_prausnitzii_SL3_3, AGORA version 1.03";"Roseburia_intestinalis_L1_82, AGORA version 1.03"
"1";5;5;5;5;5
"2";5;8;6;7;6
"3";5;15;12;14;12
"4";5;30;24;28;24
"5";9;60;48;56;48
"6";18;120;96;112;96
"7";36;235;192;220;190
"8";72;391;376;417;365
"9";143;600;673;692;638
"10";274;839;1043;982;994
"11";488;1088;1475;1269;1348
